reference,hypothesis,count
xong người,sau rồi,1
lẻ,lẽ,1
được cái gì,đưa ra ý,1
đúng không,được phẫu,1
là,nữa,1
những,nhiều,1
cận,cử,1
ờ,vẻ,1
một,nghìn,1
mươi mấy,bánh hạt,1
miss,ờ,1
nhất như miss world miss universe,dính riêng mít gua với univers,1
đó,anh,1
bảy mươi,bẩy mưởi,1
các,tết,1
thi,thy,1
mấy,máy,1
thiên,thien,1
và,phụn,1
sau đó là người da,da trắng đầu tin à,1
cũng,tên,1
thể,ảnh,1
lgbt,ti,1
như mấy silver họ,những siêu vết sợi,1
tính tính,tỉnh tỉng,1
tính,tĩnh,1
hãy,lại,1
platforms họ,lá phông,1
cái,thì,1
thấy,đại,1
với,về,1
thì,teri,1
thứ,thế,1
thay đổ,thhay đổi,1
anh,em,1
acknowledge,lít,1
anh,vay,1
luôn luôn,lâu lâu,1
tất,tết,1
cũng,phục,1
được,đều,1
anh,lấy,1
thử,để,1
cái,khiến,1
nó,đã,1
thấy,giác,1
triết,tiếng,1
dọa,doạ,1
mà,mình,1
sẽ,dễ,1
cái,em,1
ừ,nghìn,1
cái,quả,1
quả,quá,1
đi,định,1
microsmoke,mô,1
huuuu,trình,1
kể,kẻ,1
đấy,đây,1
aim minh,đạt mình,1
đạt,đạtược,1
cuộc,của,1
qua cuộc,và của,1
impact đó,thắc á,1
impact này,hot liền,1
act,áp,1
để,mẹ,1
đoạn,đạn,1
phụ,ph,1
good speaker,bít cờ,1
relevant,vừn,1
từ đó,thừa đã,1
làm,làng,1
push,pút,1
thể,đả,1
các,cả,1
đăng quang,đang quen,1
lười,lời,1
thành,anh,1
em,đã,1
chỉ,trở,1
rèn mọi,ràng vào,1
lực,lích,1
lực,lại,1
sòng phẳng,xâm phạm,1
xét,séc,1
hoa,hoàng,1
muốn,quán,1
one of the biggest changes that,những cái thay đổi lớn mà,1
anh nói,nó dẫn,1
biện,nghiêng,1
action plan,sầm len,1
debate,bơi,1
challenge cái,lừng kế,1
nó,nếu,1
itô,nó,1
thực tế,thật tể,1
đó,nữa,1
từ,thừng,1
tế,tể,1
hiệu,nhiêu,1
năm,dám,1
at least trong,át lít là,1
khi ấy,lúc đó,1
họ không,hoặc là,1
như,thế,1
action,sửn,1
act,hách,1
thật,thực,1
west cosmo,cóc mô,1
mà,mạng,1
từ mature thì đã,tức là cộn đồng,1
um,ờm,1
from,từ,1
gọng kìm,rộng kia,1
lực,liệt,1
cái,ghi,1
xa,sa,1
nhoáng,doãn,1
đại,vào,1
mạng lưới,bạn lứa,1
họ,khó,1
họ,đã,1
cái,ý,1
là,kỹ,1
quốc,quốcgia,1
mình đi franchise,phờ ran trai,1
nào,gì,1
tác,đã,1
đối tác,đôi rất,1
hướng,hết,1
ạ,à,1
diện,viện,1
thì,thầy,1
tổ,tội,1
tổ chức,tôi trực,1
chứ,nếu,1
phải,vậy,1
thi,thhi,1
ừm,nghìn,1
nghĩ này,này nó,1
pop up,póp óp,1
xa xôi,sao sôi,1
follow,lâu,1
cũ,cổ,1
vì thường,vị trường,1
mới,cuối,1
đăng quang,đang qua,1
2021,mốt,1
hana hana,ha na,1
hana,hannah,1
img,amg,1
đó,nước,1
ở,vào,1
thiết,đông,1
miss,studio,1
cô,cỗ,1
cũng,khủng,1
kết,kế,1
ít,không,1
thôi,vô,1
nữa,thôi,1
hay,hen,1
vâng,vân,1
ừm,nghĩnh,1
ban lãnh,ba lãng,1
và,của,1
có phải,câu hỏi,1
blđ,d,1
ta,tai,1
comfort zone,phóc rôn,1
thời,đợi,1
không đừng đừng đừng ở đâu,ở núi rừng rừng nâu này,1
thôi,không,1
bệ nhé,bài nhất,1
challenge,lừn,1
có,của,1
có,con,1
thiên,theo,1
thông điệp tạo ra tính,thanh niệm táo cáo chính,1
bệ,gạc,1
bod,đi,1
cái,có,1
đó đã,đây nè,1
pitching,trinh,1
align,lai,1
vất,vấtvả,1
gặp,gập,1
mindset,status,1
xong,sau,1
fix á,phích sợ,1
mình fix,lính xích,1
tính,tích,1
tất tần,rất thực,1
innovate,típ,1
bản thân,bạn linh,1
initiate,xiết,1
thôi,nên,1
idea,đê,1
thêm,them,1
hoặc,và,1
người ngoài lãnh,ngoại hình khu,1
nhìn,nhiên,1
thoảnh,thoảng,1
cái,ký,1
này,nãy,1
unlearn rồi,lên thế,1
relearn,lên,1
relearn,lơn,1
relearn,rỉlơn,1
hả,nữa,1
nha,nhạc,1
hơi lâu nha,và giao nhặt,1
một cái,trở thành,1
thế,xong,1
anh,mà,1
với em,ra cái,1
mà người đó,là mọi đã,1
hướng nội,ấn độ,1
ta,te,1
hề,người,1
tự,từ,1
rồi,nội,1
tôi,tua,1
tôi,tao,1
rồi,á,1
gặp,gặ,1
khung,khuôn,1
tự,thự,1
và,tại,1
là,tại,1
gặp,p,1
fail,theo,1
nghĩa,nghĩ,1
thể,thểu,1
cây,tay,1
từ,à,1
thêm đánh,theo đến,1
thì,thiện,1
thấy,thay,1
thể thao,thển tha,1
anti,ti,1
test test lớn,rác sữa lắm,1
hướng,hứng,1
part time,bắt tham,1
vậy,thế,1
ôi hướng,ô hiếm,1
cảm,kiểu,1
rồi,và,1
