id,speaker,start,end,duration,reference,hypothesis,reference_words,hypothesis_words,hits,substitutions,deletions,insertions,errors,wer,perfect,substitution_details,deletion_details,insertion_details,note,changed
10,00010 SP 2,0:51.3,0:53.7,2.40s,nói thật là kiểu khi mà mình,nói thật là kiểu khi mà mình,7,7,7,0,0,0,0,0.0,True,[],[],[],,False
11,00011 SP 2,0:54.1,0:54.8,0.76s,mình ấp ủ,mình làm ồn,3,3,1,2,0,0,2,0.6666666666666666,False,"[{""reference"": ""ấp ủ"", ""hypothesis"": ""làm ồn"", ""reference_position"": [1, 3], ""hypothesis_position"": [1, 3], ""type"": ""substitution""}]",[],[],,True
12,00012 SP 2,0:55.1,1:00.9,5.80s,giống như mình áp ủ một đứa con của mình vậy đó xong cuối cùng là mình nhìn thấy cái ngày mà mình được giới thiệu với mọi người,giống như mình áp ủ một đứa con của mình vậy đó xong cuối cùng là mình nhìn thấy cái ngày mà mình được giới thiệu với mọi người,29,29,29,0,0,0,0,0.0,True,[],[],[],,False
13,00013 SP 2,1:01.4,1:07.9,6.54s,trong cái chương trình đó có thể là đối với mọi người nó là một buổi họp báo đơn giản thôi nhưng đối với tụi anh thật sự nó là rất là nhiều những cái,trong cái chương trình đó có thể là đối với mọi người nó là một buổi họp báo đơn giản thôi nhưng đối với tụi anh thật sự nó là rất là nhiều những cái,35,35,35,0,0,0,0,0.0,True,[],[],[],asr bắt thiếu chữ,True
14,00014 SP 2,1:08.3,1:09.3,1.00s,tâm tư mà mình,tâm tư mà mình,4,4,4,0,0,0,0,0.0,True,[],[],[],,False
15,00015 SP 2,1:09.7,1:12.2,2.56s,mình ấp ủ mình chuẩn bị cho một thời gian dài,mình áp ủ mình chuẩn bị cho một thời gian dài,11,11,10,1,0,0,1,0.09090909090909091,False,"[{""reference"": ""ấp"", ""hypothesis"": ""áp"", ""reference_position"": [1, 2], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],[],,True
16,00016 SP 2,1:12.6,1:14.8,2.16s,và cuối cùng mình cũng có thể được chia sẻ với mọi người,và cuối cùng mình có thể được chia sẻ với mọi người,13,12,12,0,1,0,1,0.07692307692307693,False,[],"[{""reference"": ""cũng"", ""hypothesis"": """", ""reference_position"": [4, 5], ""hypothesis_position"": [4, 4], ""type"": ""deletion""}]",[],,False
17,00017 SP 2,1:15.1,1:19.8,4.72s,và may mắn là ngày hôm đó xong thì tụi anh nhận được một cái hiệu ứng rất là tích cực sự đón nhận,và may mắn là ngày hôm đó xong thì tụi anh nhận được một cái hiệu ứng rất là tích cực sự đón nhận,24,24,24,0,0,0,0,0.0,True,[],[],[],,False
18,00018 SP 2,1:20.2,1:24.3,4.10s,của cộng đồng không phải chỉ trong nước mà còn ngoài nước cộng đồng fan quốc tế nữa,của cộng đồng không chỉ trong nước mà còn ngoài nước cộng đòn phé quốc tế nữa,18,17,15,2,1,0,3,0.16666666666666666,False,"[{""reference"": ""đồng fan"", ""hypothesis"": ""đòn phé"", ""reference_position"": [13, 15], ""hypothesis_position"": [12, 14], ""type"": ""substitution""}]","[{""reference"": ""phải"", ""hypothesis"": """", ""reference_position"": [4, 5], ""hypothesis_position"": [4, 4], ""type"": ""deletion""}]",[],asr thiếu sai,True
19,00019 SP 2,1:24.7,1:31.6,6.90s,và anh nhận được rất là nhiều những lời chúc mừng từ những người bạn những người đồng nghiệp cũ những network của anh trên cả thế giới trong cái lĩnh vực sắc đẹp,và anh nhận được rất là nhiều những trả lời chúc mừng từ những người bạn những người đồng nghiệp cũ những network của anh trên cả thế giới trong cái lĩnh vực sắc nẹp,34,35,33,1,0,1,2,0.058823529411764705,False,"[{""reference"": ""đẹp"", ""hypothesis"": ""nẹp"", ""reference_position"": [33, 34], ""hypothesis_position"": [34, 35], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""trả"", ""reference_position"": [8, 8], ""hypothesis_position"": [8, 9], ""type"": ""insertion""}]",,False
20,00020 SP 2,1:32.2,1:41.7,9.46s,thế nên là đầu tiên thì rất vui và lâng lâng nhưng mà sau đó mình mới nhận ra là à cái khối lượng công việc phải tiếp tục xử lý sau họp báo mình tưởng là nhẹ nhàng đi nhưng cuối cùng lại tăng lên,thế nên là đầu tiên thì rất là vui và lân lân nhưng mà sau đó mình mới nhận ra là cái khối lượng công việc phải tiếp tục xử lý sau họp báo mình tưởng là nhẹ nhàng đi nhưng mà cuối cùng tăng lên,46,46,42,2,2,2,6,0.13043478260869565,False,"[{""reference"": ""lâng lâng"", ""hypothesis"": ""lân lân"", ""reference_position"": [9, 11], ""hypothesis_position"": [10, 12], ""type"": ""substitution""}]","[{""reference"": ""à"", ""hypothesis"": """", ""reference_position"": [20, 21], ""hypothesis_position"": [21, 21], ""type"": ""deletion""}, {""reference"": ""lại"", ""hypothesis"": """", ""reference_position"": [43, 44], ""hypothesis_position"": [44, 44], ""type"": ""deletion""}]","[{""reference"": """", ""hypothesis"": ""là"", ""reference_position"": [7, 7], ""hypothesis_position"": [7, 8], ""type"": ""insertion""}, {""reference"": """", ""hypothesis"": ""mà"", ""reference_position"": [41, 41], ""hypothesis_position"": [41, 42], ""type"": ""insertion""}]",,True
21,00021 SP 2,1:42.1,1:47.3,5.20s,cho nên là thực ra hiện đại tất cả mọi người đều đang tăng ca hết công suất để có thể đáp ứng được và,cho nên là thật ra hiện đại tất cả mọi người đều đang tăng ca hết công suất để có thể đáp ứng được và,25,25,24,1,0,0,1,0.04,False,"[{""reference"": ""thực"", ""hypothesis"": ""thật"", ""reference_position"": [3, 4], ""hypothesis_position"": [3, 4], ""type"": ""substitution""}]",[],[],,False
22,00022 SP 2,1:47.7,1:52.5,4.76s,đảm bảo là những cái lời hứa mà mình mang đến cho khán giả trong ngày họp báo thì,đảm bảo là những cái lời hứa mà mình mang đến cho khán giả trong cái ngày họp báo thì,19,20,19,0,0,1,1,0.05263157894736842,False,[],[],"[{""reference"": """", ""hypothesis"": ""cái"", ""reference_position"": [15, 15], ""hypothesis_position"": [15, 16], ""type"": ""insertion""}]",,False
23,00023 SP 2,1:52.8,1:54.6,1.74s,mình sẽ làm được nhiều và nhiều hơn nữa,mình sẽ làm được nhiều và nhiều hơn nữa,9,9,9,0,0,0,0,0.0,True,[],[],[],,False
24,00024 SP 1,1:55.1,1:58.0,2.89s,từ cái lúc mà anh nói cho em biết về,từ cái lúc mà anh nói cho em biết về,10,10,10,0,0,0,0,0.0,True,[],[],[],"qwen tinh chỉnh sai,",True
25,00025 SP 1,1:58.6,2:02.0,3.38s,cái dự định mở một cuộc thi mới cho đến khi launching đến bây giờ là,cái dự định mở một cuộc phim mới cho đến khi lan trinh đến bây giờ là,16,17,14,2,0,1,3,0.1875,False,"[{""reference"": ""thi"", ""hypothesis"": ""phim"", ""reference_position"": [6, 7], ""hypothesis_position"": [6, 7], ""type"": ""substitution""}, {""reference"": ""launching"", ""hypothesis"": ""trinh"", ""reference_position"": [11, 12], ""hypothesis_position"": [12, 13], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""lan"", ""reference_position"": [11, 11], ""hypothesis_position"": [11, 12], ""type"": ""insertion""}]",,True
26,00026 SP 1,2:02.5,2:03.2,0.70s,hơn năm,hơn năm,2,2,2,0,0,0,0,0.0,True,[],[],[],,False
27,00027 SP 1,2:03.8,2:12.8,8.98s,hơn năm lận và trong quá trình đấy thì mình đã phải plan rất nhiều thứ kể cả cái việc đổi cái format cuộc thi trong nước để phù hợp với cuộc thi,,33,0,0,0,33,0,33,1.0,False,[],"[{""reference"": ""hơn năm lận và trong quá trình đấy thì mình đã phải plan rất nhiều thứ kể cả cái việc đổi cái format cuộc thi trong nước để phù hợp với cuộc thi"", ""hypothesis"": """", ""reference_position"": [0, 33], ""hypothesis_position"": [0, 0], ""type"": ""deletion""}]",[],"whisper lỗi không trả kết quả, qwen lỗi thêm từ không có",True
28,00028 SP 2,2:10.9,2:11.5,0.52s,đúng rồi,đúng rồi,2,2,2,0,0,0,0,0.0,True,[],[],[],,False
29,00029 SP 1,2:13.3,2:17.3,3.98s,cho nước ngoài sắp tới thì trong đó có một cái thay đổi mà,cho nước ngoài sắp tới thì trong đó có một cái thay đổi mà,14,14,14,0,0,0,0,0.0,True,[],[],[],,False
30,00030 SP 1,2:17.7,2:22.4,4.69s,có một cái thay đổi mà rất là nhiều người chú ý là không có top ba chỉ có top hai thôi cũng không,có một cái thay đổi mà rất nhiều người chú ý là không có top 3 chỉ có top 2 thôi cũng không,24,23,21,2,1,0,3,0.125,False,"[{""reference"": ""ba"", ""hypothesis"": ""3"", ""reference_position"": [16, 17], ""hypothesis_position"": [15, 16], ""type"": ""substitution""}, {""reference"": ""hai"", ""hypothesis"": ""2"", ""reference_position"": [20, 21], ""hypothesis_position"": [19, 20], ""type"": ""substitution""}]","[{""reference"": ""là"", ""hypothesis"": """", ""reference_position"": [7, 8], ""hypothesis_position"": [7, 7], ""type"": ""deletion""}]",[],asr sai với tiếng anh,True
31,00031 SP 1,2:22.7,2:24.9,2.23s,câu hỏi câu hỏi ứng xử mà debate với nhau luôn,câu hỏi câu hỏi ứng xử mà device với nhau luôn,11,11,10,1,0,0,1,0.09090909090909091,False,"[{""reference"": ""debate"", ""hypothesis"": ""device"", ""reference_position"": [7, 8], ""hypothesis_position"": [7, 8], ""type"": ""substitution""}]",[],[],,False
32,00032 SP 1,2:25.5,2:27.3,1.80s,có rất là nhiều thay đổi như vậy,có rất là nhiều thay đổi như vậy,8,8,8,0,0,0,0,0.0,True,[],[],[],,False
33,00033 SP 1,2:27.6,2:31.3,3.68s,và đôi khi em thắc mắc là lý do tại sao anh quyết định đổi như vậy,và đôi khi em thắc mắc là lý do tại sao anh quyết định đổi như vậy,17,17,17,0,0,0,0,0.0,True,[],[],[],,False
34,00034 SP 1,2:31.8,2:33.6,1.80s,có phải là nếu như mà,có phải là nếu như mà,6,6,6,0,0,0,0,0.0,True,[],[],[],,False
35,00035 SP 1,2:34.0,2:39.2,5.22s,cái này là em nghĩ thôi nha nếu như không đổi thì cuộc thi của mình nó vẫn sẽ giống như những cuộc thi thông thường,cái này là em nghĩ thôi nha nếu như không đổi thì cuộc thi của mình nó vẫn sẽ giống như những cuộc thi thông thường,26,26,26,0,0,0,0,0.0,True,[],[],[],,False
36,00036 SP 2,2:39.3,2:39.8,0.50s,dạ,dạ,1,1,1,0,0,0,0,0.0,True,[],[],[],,False
37,00037 SP 1,2:39.6,2:43.5,3.94s,nó rất là khó nổi bật ra khỏi cái mặt bằng chung rất nhiều của thi hiện nay,nó rất là khó stand out khó nổi bật do phải cái mặt bằng chung rất nhiều của khi hiện nay,18,21,15,3,0,3,6,0.3333333333333333,False,"[{""reference"": ""ra khỏi"", ""hypothesis"": ""do phải"", ""reference_position"": [6, 8], ""hypothesis_position"": [9, 11], ""type"": ""substitution""}, {""reference"": ""thi"", ""hypothesis"": ""khi"", ""reference_position"": [15, 16], ""hypothesis_position"": [18, 19], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""stand out khó"", ""reference_position"": [4, 4], ""hypothesis_position"": [4, 7], ""type"": ""insertion""}]",,False
38,00038 SP 2,2:45.1,2:46.8,1.74s,anh nghĩ ngọc chắc là một trong những người biết,anh nghị ngọc chắc là một trong những người biết,10,10,9,1,0,0,1,0.1,False,"[{""reference"": ""nghĩ"", ""hypothesis"": ""nghị"", ""reference_position"": [1, 2], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],[],asr sai chữ,True
39,00039 SP 2,2:47.4,2:57.0,9.52s,về những cái cột mốc và những thay đổi đầu tiên của miss cosmo từ việt nam tới quốc tế thì anh không hiểu tại sao trong những dịp mà anh đang suy nghĩ về việc làm cái gì mới thì,về những cái cột mốc và những thay đổi đầu tiên của miss cosmo từ việt nam đến quốc tế thì anh không hiểu tại sao trong những dịp mà anh đang suy nghĩ về việc làm gì mới,41,39,38,1,2,0,3,0.07317073170731707,False,"[{""reference"": ""tới"", ""hypothesis"": ""đến"", ""reference_position"": [17, 18], ""hypothesis_position"": [17, 18], ""type"": ""substitution""}]","[{""reference"": ""cái"", ""hypothesis"": """", ""reference_position"": [37, 38], ""hypothesis_position"": [37, 37], ""type"": ""deletion""}, {""reference"": ""thì"", ""hypothesis"": """", ""reference_position"": [40, 41], ""hypothesis_position"": [39, 39], ""type"": ""deletion""}]",[],qwen chọn chưa đúng lắm,True
40,00040 SP 1,2:51.5,2:52.7,1.18s,hhhhha,với sức khỏe,1,3,0,1,0,2,3,3.0,False,"[{""reference"": ""hhhhha"", ""hypothesis"": ""khỏe"", ""reference_position"": [0, 1], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""với sức"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",tiếng cười,True
41,00041 SP 2,2:57.3,3:00.4,3.10s,gần như tình cờ là anh em mình đều gặp nhau đúng không trong những buổi cà phê,gần như tình cờ là anh em mình đều gặp nhau trong những buổi cà phê,18,16,16,0,2,0,2,0.1111111111111111,False,[],"[{""reference"": ""đúng không"", ""hypothesis"": """", ""reference_position"": [11, 13], ""hypothesis_position"": [11, 11], ""type"": ""deletion""}]",[],,False
42,00042 SP 2,3:00.9,3:02.0,1.04s,um thì,thì,2,1,1,0,1,0,1,0.5,False,[],"[{""reference"": ""um"", ""hypothesis"": """", ""reference_position"": [0, 1], ""hypothesis_position"": [0, 0], ""type"": ""deletion""}]",[],,False
43,00043 SP 2,3:02.3,3:03.0,0.70s,anh nghĩ ấy,anh ấy,3,2,2,0,1,0,1,0.3333333333333333,False,[],"[{""reference"": ""nghĩ"", ""hypothesis"": """", ""reference_position"": [1, 2], ""hypothesis_position"": [1, 1], ""type"": ""deletion""}]",[],lỗi asr khi nghe đoạn quá ngắn,True
44,00044 SP 2,3:03.4,3:06.0,2.58s,cái quan điểm từ của anh giờ nó không đổi tức là,cái quan điểm từ của anh đến giờ nó không đổi tức là,12,13,12,0,0,1,1,0.08333333333333333,False,[],[],"[{""reference"": """", ""hypothesis"": ""đến"", ""reference_position"": [6, 6], ""hypothesis_position"": [6, 7], ""type"": ""insertion""}]",,False
45,00045 SP 2,3:06.9,3:11.5,4.58s,nếu mà mình chỉ có làm mọi thứ giống nhau thì mình không thể mong đợi kết quả nó sẽ khác đi được,nếu mà mình chỉ có làm mọi thứ giống nhau thì mình không thể mong đợi kết quả nó sẽ khác đi được,23,23,23,0,0,0,0,0.0,True,[],[],[],,False
46,00046 SP 2,3:12.4,3:12.8,0.42s,có đúng không,i don t love,3,4,0,3,0,1,4,1.3333333333333333,False,"[{""reference"": ""có đúng không"", ""hypothesis"": ""don t love"", ""reference_position"": [0, 3], ""hypothesis_position"": [1, 4], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""i"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]","asr sai, qwen chọn sai",True
47,00047 SP 1,3:12.9,3:13.3,0.38s,phụ so you,phụ nữ,3,2,1,1,1,0,2,0.6666666666666666,False,"[{""reference"": ""so"", ""hypothesis"": ""nữ"", ""reference_position"": [1, 2], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]","[{""reference"": ""you"", ""hypothesis"": """", ""reference_position"": [2, 3], ""hypothesis_position"": [2, 2], ""type"": ""deletion""}]",[],,False
48,00048 SP 2,3:13.2,3:19.1,5.88s,thì rõ ràng là nếu mà mình vẫn làm như từ trước giờ mình làm và mình cũng làm giống như cách mọi người làm và mọi nghĩ nó phải là á,thì rõ ràng là nếu mà mình cũng làm như tôi chứng nhận mình làm và mình cũng giống như cách mọi người làm và mọi nghĩ nó phải là,32,30,26,4,2,0,6,0.1875,False,"[{""reference"": ""vẫn"", ""hypothesis"": ""cũng"", ""reference_position"": [7, 8], ""hypothesis_position"": [7, 8], ""type"": ""substitution""}, {""reference"": ""từ trước giờ"", ""hypothesis"": ""tôi chứng nhận"", ""reference_position"": [10, 13], ""hypothesis_position"": [10, 13], ""type"": ""substitution""}]","[{""reference"": ""làm"", ""hypothesis"": """", ""reference_position"": [18, 19], ""hypothesis_position"": [18, 18], ""type"": ""deletion""}, {""reference"": ""á"", ""hypothesis"": """", ""reference_position"": [31, 32], ""hypothesis_position"": [30, 30], ""type"": ""deletion""}]",[],asr sai,True
49,00049 SP 2,3:19.5,3:23.1,3.62s,thì chắc chắn cái kết quả nó sẽ là the same nó chỉ có thể là giống hoặc tệ hơn thôi,thì chắc chắn cái kết quả nó sẽ là để xem nó chỉ có thể là giống hoặc tệ hơn thôi,21,21,19,2,0,0,2,0.09523809523809523,False,"[{""reference"": ""the same"", ""hypothesis"": ""để xem"", ""reference_position"": [9, 11], ""hypothesis_position"": [9, 11], ""type"": ""substitution""}]",[],[],asr không tốt với tiếng anh,True
50,00050 SP 2,3:23.5,3:24.7,1.16s,tại vì người ta đã làm rồi,tại vì người ta đã làm rồi,7,7,7,0,0,0,0,0.0,True,[],[],[],,False
51,00051 SP 2,3:25.1,3:29.6,4.52s,mình cũng làm lặp lại y hệt mình còn tư duy lười cải tiến nữa thì chắc chắn là sẽ không thành công,mình cũng làm lặp lại hết mà mình còn lười tư duy lời cải tiến nữa thì chắc chắn là sẽ không thành công,23,24,20,3,0,1,4,0.17391304347826086,False,"[{""reference"": ""y hệt"", ""hypothesis"": ""hết mà"", ""reference_position"": [5, 7], ""hypothesis_position"": [5, 7], ""type"": ""substitution""}, {""reference"": ""lười"", ""hypothesis"": ""lời"", ""reference_position"": [11, 12], ""hypothesis_position"": [12, 13], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""lười"", ""reference_position"": [9, 9], ""hypothesis_position"": [9, 10], ""type"": ""insertion""}]",,True
52,00052 SP 2,3:30.3,3:34.6,4.32s,thì quan điểm của tụi anh là nếu mà mình có một cái cơ hội để làm mới thì mình sẽ làm mới,thì quan điểm của tụi anh là nếu mình có một cái cơ hội để làm mới thì mình sẽ làm mới,23,22,22,0,1,0,1,0.043478260869565216,False,[],"[{""reference"": ""mà"", ""hypothesis"": """", ""reference_position"": [8, 9], ""hypothesis_position"": [8, 8], ""type"": ""deletion""}]",[],,False
53,00053 SP 2,3:35.1,3:37.5,2.48s,mà ở đây mình còn là có cơ hội làm từ đâu nữa cơ,mà ở đây mình còn là có cơ hội làm từ đâu nữa đó,14,14,13,1,0,0,1,0.07142857142857142,False,"[{""reference"": ""cơ"", ""hypothesis"": ""đó"", ""reference_position"": [13, 14], ""hypothesis_position"": [13, 14], ""type"": ""substitution""}]",[],[],asr sai,True
54,00054 SP 2,3:38.4,3:42.9,4.45s,anh coi đó là cơ hội nhé tại vì mình sinh ra cái thương hiệu cái sản phẩm này là từ bắt đầu,anh coi nó là cơ hội nhé tại vì mình sinh ra thương hiệu sản phẩm này từ bắt đầu,23,20,19,1,3,0,4,0.17391304347826086,False,"[{""reference"": ""đó"", ""hypothesis"": ""nó"", ""reference_position"": [2, 3], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]","[{""reference"": ""cái"", ""hypothesis"": """", ""reference_position"": [12, 13], ""hypothesis_position"": [12, 12], ""type"": ""deletion""}, {""reference"": ""cái"", ""hypothesis"": """", ""reference_position"": [15, 16], ""hypothesis_position"": [14, 14], ""type"": ""deletion""}, {""reference"": ""là"", ""hypothesis"": """", ""reference_position"": [19, 20], ""hypothesis_position"": [17, 17], ""type"": ""deletion""}]",[],,False
55,00055 SP 2,3:43.2,3:46.6,3.36s,cho nên mình cũng không bị đóng khung trong câu chuyện là phải như thế nào cho đúng,cho nên mình cũng không bị đóng phung trong câu chuyện là phải như thế nào cho đúng,18,18,17,1,0,0,1,0.05555555555555555,False,"[{""reference"": ""khung"", ""hypothesis"": ""phung"", ""reference_position"": [7, 8], ""hypothesis_position"": [7, 8], ""type"": ""substitution""}]",[],[],,True
56,00056 SP 2,3:47.4,3:50.6,3.20s,thì anh chỉ thấy là à ok có những cái nguyên tắc trong cái việc,thì anh chỉ thấy là à ok có những cái nguyên tắc trong cái việc,15,15,15,0,0,0,0,0.0,True,[],[],[],,False
57,00057 SP 2,3:51.4,4:00.4,9.01s,tạo nên phong cách của một cuộc thi sắc đẹp mà mình nên giữ nhưng còn lại thì anh để cho bản thân và để cho tất cả đội ngũ của mình rất là thoải mái trong cách tư duy xây dựng format,tạo nên format của một cuộc thi sắc đẹp mà mình nên giữ nhưng còn lại thì anh để cho bản thân và để cho tất cả đội ngũ của mình rất là thoải mái trong cách tư duy xây dựng format,43,42,41,1,1,0,2,0.046511627906976744,False,"[{""reference"": ""phong"", ""hypothesis"": ""format"", ""reference_position"": [2, 3], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]","[{""reference"": ""cách"", ""hypothesis"": """", ""reference_position"": [3, 4], ""hypothesis_position"": [3, 3], ""type"": ""deletion""}]",[],asr và tinh chỉnh sai,True
58,00058 SP 2,4:00.7,4:02.7,1.94s,cho nên là tụi anh gần như,cho nên là tụi anh gần như,7,7,7,0,0,0,0,0.0,True,[],[],[],,False
59,00059 SP 2,4:03.0,4:10.7,7.63s,phá cái cấu trúc truyền thống và khi mà đặt vào bất cứ một cái khuôn mẫu nào thì anh luôn tự hỏi là tại sao mình phải làm như vậy có cách nào làm khác đi không,phải cái cấu trúc truyền thống và khi mà đặt vào bất cứ một khuôn mẫu nào thì anh luôn tự hỏi là tại sao mình phải làm như vậy có cách nào làm khác đi không,38,37,36,1,1,0,2,0.05263157894736842,False,"[{""reference"": ""phá"", ""hypothesis"": ""phải"", ""reference_position"": [0, 1], ""hypothesis_position"": [0, 1], ""type"": ""substitution""}]","[{""reference"": ""cái"", ""hypothesis"": """", ""reference_position"": [14, 15], ""hypothesis_position"": [14, 14], ""type"": ""deletion""}]",[],,True
60,00060 SP 2,4:11.1,4:13.0,1.88s,thế nên là tụi anh cũng,thế nên là tụi anh cũng,6,6,6,0,0,0,0,0.0,True,[],[],[],,False
61,00061 SP 2,4:14.0,4:20.2,6.24s,có thể gọi là khá là táo bạo những câu chuyện là đập vỡ cái format truyền thống mà mình xây một cái phong cách hoàn toàn mới cho cosmo,có thể gọi là khá là táo bạo những câu chuyện là đập vỡ cái format truyền thống và mình xây một cái format hoàn toàn mới cho cosmo,30,29,27,2,1,0,3,0.1,False,"[{""reference"": ""mà"", ""hypothesis"": ""và"", ""reference_position"": [18, 19], ""hypothesis_position"": [18, 19], ""type"": ""substitution""}, {""reference"": ""phong"", ""hypothesis"": ""format"", ""reference_position"": [23, 24], ""hypothesis_position"": [23, 24], ""type"": ""substitution""}]","[{""reference"": ""cách"", ""hypothesis"": """", ""reference_position"": [24, 25], ""hypothesis_position"": [24, 24], ""type"": ""deletion""}]",[],từ format dễ bị asr nhầm thành phong cách,True
