reference,hypothesis,count
đủ,đúng,1
rồi,đó,1
em,mà,1
unlean,lên,1
unlearn,lơn,1
ờ,thế,1
nó,nói,1
yeah,ơi,1
và,bạn,1
nhờ,nhỉ,1
là,lạc,1
vì,việc,1
luồng,buồn,1
yeah,nhưng,1
ừ,hư,1
ra,da,1
unlean,lần,1
tv báo,gửi email,1
họ cũng,mà không,1
shortcontent,content,1
mình,lên,1
hỏi,họ,1
trình,trị,1
kỳ,kì,1
ngoại,khoại,1
nó,mình,1
nhành,nhảnh,1
cái chìa,chi phó,1
ôi,ui,1
bất ngờ thực,nhưng mà thật,1
về,là,1
về,và,1
có,ra,1
vừa,vừ,1
nói,ấy,1
lạ,à,1
vàng,vàn,1
cụ,cựu,1
chat,jack,1
mình,nguyện,1
thạo,đạo,1
than trách,thang chắc,1
ừ,từ,1
ừm,thứs,1
unlearn trong lĩnh vực,lên nơi mình bức,1
đẹp,này,1
khi làm được luật,phía lạc tuyệt vụ,1
về,với,1
bão,bảo,1
hiệu,niệm,1
đàng hoàng,hoàn toàn,1
không tích cực,vâng tất cả,1
challenge,ơn,1
lại,hãy,1
cuộc thi này,cùng đi rồi,1
đây,đấy,1
em,ham,1
mà,nè,1
để,nó,1
ứng dụng,vẫn dùng,1
là,lẹ,1
á,đó,1
khổ,hộ,1
triết,chí,1
một á,màu bắc,1
trả,giải,1
format,mắt,1
về format,vào mắt,1
ô,ôi,1
từ trước như,như mình làm,1
hết,đó,1
ừm,mình,1
sắc,sắp,1
câu,con,1
nó ư,nói đúng,1
giá,trá,1
ừ,là,1
phụ,phủ,1
ừm,rồi,1
điểm,niệm,1
đây,nên,1
quyet,quyền,1
yeah,là,1
ụnlearn,lên,1
hướng,ước,1
tại,thì,1
là,này,1
và,rồi,1
là,lại,1
thi,thấy,1
ielts,hells,1
giống,ông,1
bây giờ,vậy hả,1
người,rồi,1
lẻ,lẽ,1
những,nhiều,1
sắc đẹp,sắp đến,1
đại,tại,1
cận,cựu,1
họ,chắc,1
sắc đẹp,sắt đẹt,1
một,1980,1
mấy,mới,1
nhất như,những cái,1
chín năm mươi chín,1950 1951 vậy anh,1
nghĩ,biết,1
đăng quang,năng quan,1
và,ti,1
cũng đăng,ti năng,1
thể,nể,1
lgbt,lgbti,1
họ,sao,1
rộng,động,1
hãy,lại,1
platforms,platform,1
đổ,đầu,1
luồng,lũ,1
luôn luôn,luông luông,1
luồng ý,lùa nghĩ,1
cả 1 chiều,cảm một chiêu,1
có,gói,1
mới,lấy,1
thử,để,1
cớ,cơ,1
cái,gốc,1
thấy,nhận,1
triết,chiếc,1
mà,mình,1
đổi,đội,1
cái mới học,mọi người yêu,1
dụ,dự,1
hoàn,hàn,1
ừ,thứ,1
huuuu,dân,1
để,này,1
aim minh,êm mình,1
em park phương ti làm,impact from beauty là mẹ,1
khi anh nghĩ về cái,khiến người yêu gái gây,1
biện,impact,1
ác,act,1
này,lên,1
act,add,1
nếu,mà,1
khuyến khích,khuy kích,1
đoạn,độn,1
phụ,phù,1
truyền,chuyện,1
hay,hoặc,1
quan,quen,1
làm,là,1
thể,rã,1
đăng,đang,1
lười,lùi,1
đăng quang,đang quay,1
đón,nón,1
rõ ràng,cho nên,1
đấy,ít,1
đó,nữa,1
rèn,ràng,1
sòng phẳng,xâm phạm,1
anh muốn,ăn uống,1
cái khía,khí cảnh,1
danh hiệu hoa hậu,dân yêu hòa hoàng,1
muốn,vũ,1
one of the biggest changes that,những cái thay đổi lớn mà,1
anh nói,nó dẫn,1
thi,thí,1
itô,nó,1
tế,tễ,1
hoa,họ,1
hiệu,hiều,1
cô,câu,1
hay,gì,1
ràng buộc,giảm cuộc,1
cuộc thi,công ty,1
trắng,chẳng,1
trong,là,1
khi ấy,lúc đó,1
họ,nó,1
sắc,sách,1
la,latin,1
mature thì đã,tới cộp đồng,1
vào,mà,1
from,từ,1
kìm,kim,1
thôi,luôn,1
tát,tác,1
bổ,phỏ,1
họ,hòa,1
cẩn,kỹ,1
để,nè,1
nào,vậy,1
đối,đổi,1
diện,điện,1
thì anh,thế này,1
tổ chức đó,tôi trực tích,1
ừm,ừ,1
nghĩ,nghĩa,1
là,nó,1
chợt,chật,1
xa,sao,1
hơi,hơn,1
em vậy,anh mẹ,1
này,nè,1
dự án,gì đó,1
cũ,cổ,1
hana có,đó không,1
dưới,giữa,1
cái,kế,1
thiết đó không,thế nào mà,1
dự án rất,dưới rất là,1
dự,dụ,1
hoa,hoàng,1
là,ra,1
cũng,khủng,1
ít,không,1
thôi,rồi,1
hay,he,1
vâng,vư,1
là,loại,1
cái việc,quý vị,1
ừm,nên,1
tầm,tâm,1
cuộc thi,quốc phí,1
lãnh,lãng,1
có,hoặc,1
blđ,bod,1
đi,dc,1
không,là,1
đừng đừng,đâu thì,1
thôi,không,1
ban,bang,1
nhé,nhá,1
đồng,động,1
kiến,kiếm,1
bệ,về,1
đã,nè,1
vã,phải,1
á,ạ,1
tính,tinh,1
tần tật tất cả,cả thực hiện cái,1
thừa,thường,1
đúng,ủa,1
innovate,innovative,1
ngẫu,ngậu,1
idea,đi,1
góp,góc,1
thêm,đem,1
lãnh vực ở,hành quốc vật,1
nhìn,nhiệm,1
thoảnh,thoảng,1
cái sự,ý tưởng,1
sao,đó,1
này,nãy,1
rồi,thế,1
là,bạn,1
nha,nhạc,1
hơi lâu nha,là bây giờ,1
thế,xong,1
anh,mà,1
với em,ra anh,1
mà,mọi,1
đó,nói,1
hướng nội,ấn độ,1
tiếp,tiết,1
tự,ừ,1
tái tạo năng lượng,tại tao đang lưu,1
hướng nội,hứng nổi,1
rồi,nổi,1
cũng nghĩ,người ý,1
đừng,đường,1
chế,với,1
phải,thấy,1
ồ,ô,1
việc,vì,1
là,tại,1
ngồi kia,người kìa,1
fail,theo,1
động,đồng,1
những,cái,1
thử hết,thở ướt,1
trâu,châu,1
cây,tây,1
tại sao,và sau,1
đánh,đến,1
xong,thôi,1
qua,lẽ,1
thao,tháo,1
đó lý do mà,đi y all nè,1
thôi,ôi,1
đừng,được,1
mấy,với,1
lớn,thôi,1
part time,bắt tham,1
vậy,thế,1
muốn,có,1
ông,không,1
