reference,hypothesis,count
nhặt nhành,nhạt nhẽn,1
ôi,ui,1
truyện,thống,1
bất ngờ,nhưng mà,1
đến dâu,tới nhau,1
môn,mông,1
vàn,vàng,1
than trách thôi,thanh chất thô,1
đó,mà,1
cái,kế,1
thì đâu là điều,then what s your,1
ở thời điểm này hoặc là thời điềm,at this time or was it before then,1
cảm ơn,a plan,1
nếu,cái,1
unlearn trong lĩnh vực,trên cái mình vượt,1
đẹp,này,1
khi,kia,1
bão,bảo,1
như,những,1
đàng hoàng,này nọ,1
hả,hệ,1
lắm,lẫm,1
đúng,well,1
để,nó,1
hoặc là,work life,1
tiến,tính,1
và để làm cái điều,and to make that happen,1
sẽ phải unlearn,ấn lên đó,1
triết học,hộc một,1
một á,mộ quá,1
cho nên kể ngay,đừng kể gai trong,1
format,các,1
dị ứng,dịu ngưỡng,1
cả bod,đi với,1
từ trước như,như mình làm,1
hết,đó,1
câu,công,1
hoa hậu,qua họ,1
ừm,s,1
ừ,là,1
thì nó lại càng,then it becomes better,1
yeah,là,1
và nó là một trong những điều cần ụnlearn khi mà mình,of those things that we need to eat more when we re,1
tham,thêm,1
sắc,rất,1
này,bài,1
circle,cầu,1
dùm,dùng,1
là academic,academist mà,1
ngày,thời,1
nghi,nghị,1
em,emthi,1
phản đối,ăn tối,1
ielts,el,1
bản,bạn,1
chỉ,chị,1
hold,khô,1
back,bát,1
thì,chị,1
bây giờ,ví dụ,1
sắc,xác,1
xong,sau,1
đúng,wow,1
ờ,vẻ,1
ngàn,nghìn,1
một,nghìn,1
hoa,họ,1
nghĩ các,tất cả,1
đúng rồi đúng rồi,mùa hoạt động à,1
và,tiên,1
cũng,tiên,1
thể,lẻ,1
vậy,về,1
thì,maybe,1
ừ,đúng,1
tức là anh,that all these,1
tức là,tốt về,1
luôn luôn,lùng lùng,1
luận,lượng,1
thử,từ,1
nguyên cớ,nguy cơ,1
thử,thì,1
cái,thế,1
học,không,1
hoàn,hàn,1
microsmoke,microsmo,1
huuuu,xin,1
xin,nghe,1
kể,kệ,1
kể,kẻ,1
một,one,1
aim minh,em mình,1
tại,because,1
là,lễ,1
park phương ti làm,phát phun beauty là,1
biện,imphát,1
từ,tự,1
nữ,tử,1
nói,nó,1
tại vì mình thấy rất nhiều,because i see many goosebickers already,1
cuộc,câu,1
vẫn,vững,1
phải,fight,1
lười,lôi,1
thành,anh,1
ống,ông,1
quay,qua,1
nên,đến,1
của dư luận,cử du luôn,1
có,một,1
lực,lượng,1
sòng phẳng,sồng phàm,1
khía cạnh,khí cảnh,1
danh hiệu hoa hậu,giai điệu hòa hoang,1
muốn,vũ,1
đó,ấy,1
hoặc là ví dụ,or example like that,1
debate,bay,1
itô,nó,1
từ,thường,1
khi,như,1
ràng,giằng,1
trong việt,in vietnam,1
khi ấy,lúc đó,1
họ,nó,1
họ không làm những cái họ hứa họ không,t act like they promised them they didn t,1
họ không act thì như thế,it then how does that look,1
trở,thanh,1
west,westcosmo,1
đã,đàm,1
mature thì đã,là cộng đồng,1
vào,mà,1
from,từ,1
kìm,kim,1
nhoáng,gión,1
bổ,bảo,1
mạng,màn,1
phản ánh,ngấn cái,1
nào,gì,1
tác,tắc,1
soi xét,so sánh,1
bạn,anh,1
hướng,thế,1
cho,do,1
anh,nếu,1
đạt thông điệp,tải không đẹp,1
xa xôi,sa suối,1
up,pop,1
em vậy,anh mày,1
hết,thế,1
cô,cậu,1
đăng quang,đang quan,1
quay miss,quan với,1
2021,một,1
anh,an,1
thì anh có biết hana có,then i know that hanes has,1
vào,ở,1
không,mình,1
dự án rất,vườn rất là,1
miss universe,mới studio,1
án đó,nó event,1
nhưng,chứ,1
hoa hậu,cái hòa,1
thật là,thực ra,1
ít,không,1
giống,cũng,1
việc,vị,1
ừm,nên,1
cái,cây,1
và một,một cái,1
blđ,bld,1
anh,ấy,1
thật ra,thấy rằng,1
relearning,learning,1
ở đâu,đâu thì,1
ở,đợi,1
thôi,cơ,1
là,lại,1
về,vào,1
giống,dương,1
bệ,về,1
với,cái,1
đã,là,1
align,online,1
nhưng,như,1
vã,vẻ,1
xong,sao,1
á,được,1
tất tần tật tất cả,tức tương thực những cái,1
innovate,thì,1
idea,đi,1
anh,anhthêm,1
lãnh,lĩnh,1
thì,để,1
thoảnh,thoảng,1
này,nãy,1
unlearn rồi,lớn thì,1
relearn,lên,1
hả,nữa,1
hơi,thôi,1
hơi lâu nha,vậy đâu nhá,1
với,đó,1
người,anh,1
hướng nội,hứng nổi,1
hướng nội,hưởng lợi,1
hướng,hứng,1
ấy,thấy,1
khung,khu,1
ồ,ồm,1
này ngồi kia,nè người kĩ,1
fail,theo,1
dở,ở,1
hết á,á thế,1
cây,tay,1
anh,anhh,1
xong,thôi,1
à,àm,1
dở,vỡ,1
thao,tháo,1
nhưng mỗi lần anh thấy bạn bè anh làm những bài test về tính cách,but every time i see my friends doing these tests about personality or understanding myself,1
test,tests,1
tay,t,1
nội part time,ngoại phát tham,1
vậy,thấy,1
ôi,u,1
liên,tiên,1
muốn,còn,1
