id,speaker,start,end,duration,reference,hypothesis,reference_words,hypothesis_words,hits,substitutions,deletions,insertions,errors,wer,perfect,substitution_details,deletion_details,insertion_details,note,changed
10,00010 SP 2,0:51.3,0:53.7,2.40s,nói thật là kiểu khi mà mình,nói thật là kiểu kia mình,7,6,5,1,1,0,2,0.2857142857142857,False,"[{""reference"": ""khi"", ""hypothesis"": ""kia"", ""reference_position"": [4, 5], ""hypothesis_position"": [4, 5], ""type"": ""substitution""}]","[{""reference"": ""mà"", ""hypothesis"": """", ""reference_position"": [5, 6], ""hypothesis_position"": [5, 5], ""type"": ""deletion""}]",[],,False
11,00011 SP 2,0:54.1,0:54.8,0.76s,mình ấp ủ,mình ấp ủ,3,3,3,0,0,0,0,0.0,True,[],[],[],,True
12,00012 SP 2,0:55.1,1:00.9,5.80s,giống như mình áp ủ một đứa con của mình vậy đó xong cuối cùng là mình nhìn thấy cái ngày mà mình được giới thiệu với mọi người,giống như mình ấp ủ đứa con của mình vậy đó xong cuối cùng là mình nhìn thấy cái ngày mà mình được giới thiệu với mọi người,29,28,27,1,1,0,2,0.06896551724137931,False,"[{""reference"": ""áp"", ""hypothesis"": ""ấp"", ""reference_position"": [3, 4], ""hypothesis_position"": [3, 4], ""type"": ""substitution""}]","[{""reference"": ""một"", ""hypothesis"": """", ""reference_position"": [5, 6], ""hypothesis_position"": [5, 5], ""type"": ""deletion""}]",[],,False
13,00013 SP 2,1:01.4,1:07.9,6.54s,trong cái chương trình đó có thể là đối với mọi người nó là một buổi họp báo đơn giản thôi nhưng đối với tụi anh thật sự nó là rất là nhiều những cái,trong cái chương trình đó có lẽ là đối với mọi người nó là một buổi họp báo đơn giản nhưng đối anh thật sự nó là rất nhiều những cái,35,31,30,1,4,0,5,0.14285714285714285,False,"[{""reference"": ""thể"", ""hypothesis"": ""lẽ"", ""reference_position"": [6, 7], ""hypothesis_position"": [6, 7], ""type"": ""substitution""}]","[{""reference"": ""thôi"", ""hypothesis"": """", ""reference_position"": [20, 21], ""hypothesis_position"": [20, 20], ""type"": ""deletion""}, {""reference"": ""với tụi"", ""hypothesis"": """", ""reference_position"": [23, 25], ""hypothesis_position"": [22, 22], ""type"": ""deletion""}, {""reference"": ""là"", ""hypothesis"": """", ""reference_position"": [31, 32], ""hypothesis_position"": [28, 28], ""type"": ""deletion""}]",[],asr bắt thiếu chữ,True
14,00014 SP 2,1:08.3,1:09.3,1.00s,tâm tư mà mình,tâm tư mà mình,4,4,4,0,0,0,0,0.0,True,[],[],[],,False
15,00015 SP 2,1:09.7,1:12.2,2.56s,mình ấp ủ mình chuẩn bị cho một thời gian dài,ờ mình mình áp bụng mình chuẩn bị cho một thời gian dài,11,13,9,2,0,2,4,0.36363636363636365,False,"[{""reference"": ""ấp ủ"", ""hypothesis"": ""áp bụng"", ""reference_position"": [1, 3], ""hypothesis_position"": [3, 5], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""ờ"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}, {""reference"": """", ""hypothesis"": ""mình"", ""reference_position"": [1, 1], ""hypothesis_position"": [2, 3], ""type"": ""insertion""}]",,True
16,00016 SP 2,1:12.6,1:14.8,2.16s,và cuối cùng mình cũng có thể được chia sẻ với mọi người,và cuối cùng mình cũng có thể chia sẻ với mọi người,13,12,12,0,1,0,1,0.07692307692307693,False,[],"[{""reference"": ""được"", ""hypothesis"": """", ""reference_position"": [7, 8], ""hypothesis_position"": [7, 7], ""type"": ""deletion""}]",[],,False
17,00017 SP 2,1:15.1,1:19.8,4.72s,và may mắn là ngày hôm đó xong thì tụi anh nhận được một cái hiệu ứng rất là tích cực sự đón nhận,và may mắn là ngày hôm đó xong thì tụi anh nhận được một cái hiệu ứng rất là tích cực sự đón nhận,24,24,24,0,0,0,0,0.0,True,[],[],[],,False
18,00018 SP 2,1:20.2,1:24.3,4.10s,của cộng đồng không phải chỉ trong nước mà còn ngoài nước cộng đồng fan quốc tế nữa,của cộng đồng không phải chỉ trong nước và ngoài nước cộn đồng phe quốc tế nữa,18,17,14,3,1,0,4,0.2222222222222222,False,"[{""reference"": ""mà"", ""hypothesis"": ""và"", ""reference_position"": [8, 9], ""hypothesis_position"": [8, 9], ""type"": ""substitution""}, {""reference"": ""cộng"", ""hypothesis"": ""cộn"", ""reference_position"": [12, 13], ""hypothesis_position"": [11, 12], ""type"": ""substitution""}, {""reference"": ""fan"", ""hypothesis"": ""phe"", ""reference_position"": [14, 15], ""hypothesis_position"": [13, 14], ""type"": ""substitution""}]","[{""reference"": ""còn"", ""hypothesis"": """", ""reference_position"": [9, 10], ""hypothesis_position"": [9, 9], ""type"": ""deletion""}]",[],asr thiếu sai,True
19,00019 SP 2,1:24.7,1:31.6,6.90s,và anh nhận được rất là nhiều những lời chúc mừng từ những người bạn những người đồng nghiệp cũ những network của anh trên cả thế giới trong cái lĩnh vực sắc đẹp,và anh nhận được rất là nhiều những trả lời chúc mừng từ những người bạn những đồng nghiệp cũ những nét quần của anh trên cả thế giới trong cái lĩnh vực sắc đẹp,34,35,32,1,1,2,4,0.11764705882352941,False,"[{""reference"": ""network"", ""hypothesis"": ""quần"", ""reference_position"": [21, 22], ""hypothesis_position"": [22, 23], ""type"": ""substitution""}]","[{""reference"": ""người"", ""hypothesis"": """", ""reference_position"": [16, 17], ""hypothesis_position"": [17, 17], ""type"": ""deletion""}]","[{""reference"": """", ""hypothesis"": ""trả"", ""reference_position"": [8, 8], ""hypothesis_position"": [8, 9], ""type"": ""insertion""}, {""reference"": """", ""hypothesis"": ""nét"", ""reference_position"": [21, 21], ""hypothesis_position"": [21, 22], ""type"": ""insertion""}]",,False
20,00020 SP 2,1:32.2,1:41.7,9.46s,thế nên là đầu tiên thì rất vui và lâng lâng nhưng mà sau đó mình mới nhận ra là à cái khối lượng công việc phải tiếp tục xử lý sau họp báo mình tưởng là nhẹ nhàng đi nhưng cuối cùng lại tăng lên,thế nên là đầu tiên thì rất vui và lâng lâng nhưng mà sau đó mình mới nhận ra là à cái khối lượng công việc phải tiếp tục xử lí sau họp báo mình tưởng là nhẹ nhàng đi nhưng cuối cùng còn tăng lên,46,46,44,2,0,0,2,0.043478260869565216,False,"[{""reference"": ""lý"", ""hypothesis"": ""lí"", ""reference_position"": [30, 31], ""hypothesis_position"": [30, 31], ""type"": ""substitution""}, {""reference"": ""lại"", ""hypothesis"": ""còn"", ""reference_position"": [43, 44], ""hypothesis_position"": [43, 44], ""type"": ""substitution""}]",[],[],,True
21,00021 SP 2,1:42.1,1:47.3,5.20s,cho nên là thực ra hiện đại tất cả mọi người đều đang tăng ca hết công suất để có thể đáp ứng được và,cho nên là thực ra hiện đại tất cả mọi người đều đang tăng ca hết công suất để có thể đáp ứng được và,25,25,25,0,0,0,0,0.0,True,[],[],[],,False
22,00022 SP 2,1:47.7,1:52.5,4.76s,đảm bảo là những cái lời hứa mà mình mang đến cho khán giả trong ngày họp báo thì,đảm bảo lại những cái lời hứa mà mình mang đến cho đọc cho khán giả trong ngày họp báo thì,19,21,18,1,0,2,3,0.15789473684210525,False,"[{""reference"": ""là"", ""hypothesis"": ""lại"", ""reference_position"": [2, 3], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""cho đọc"", ""reference_position"": [11, 11], ""hypothesis_position"": [11, 13], ""type"": ""insertion""}]",,False
23,00023 SP 2,1:52.8,1:54.6,1.74s,mình sẽ làm được nhiều và nhiều hơn nữa,mình sẽ làm được nhiều và nhiều hơn nữa,9,9,9,0,0,0,0,0.0,True,[],[],[],,False
24,00024 SP 1,1:55.1,1:58.0,2.89s,từ cái lúc mà anh nói cho em biết về,từ cái lúc mà anh nói cho em biết về,10,10,10,0,0,0,0,0.0,True,[],[],[],"qwen tinh chỉnh sai,",True
25,00025 SP 1,1:58.6,2:02.0,3.38s,cái dự định mở một cuộc thi mới cho đến khi launching đến bây giờ là,cái dự định mở một phim mới cho đến khi lan sinh đến bây giờ là,16,16,13,2,1,1,4,0.25,False,"[{""reference"": ""cuộc"", ""hypothesis"": ""phim"", ""reference_position"": [5, 6], ""hypothesis_position"": [5, 6], ""type"": ""substitution""}, {""reference"": ""launching"", ""hypothesis"": ""sinh"", ""reference_position"": [11, 12], ""hypothesis_position"": [11, 12], ""type"": ""substitution""}]","[{""reference"": ""thi"", ""hypothesis"": """", ""reference_position"": [6, 7], ""hypothesis_position"": [6, 6], ""type"": ""deletion""}]","[{""reference"": """", ""hypothesis"": ""lan"", ""reference_position"": [11, 11], ""hypothesis_position"": [10, 11], ""type"": ""insertion""}]",,True
26,00026 SP 1,2:02.5,2:03.2,0.70s,hơn năm,hơn năm,2,2,2,0,0,0,0,0.0,True,[],[],[],,False
27,00027 SP 1,2:03.8,2:12.8,8.98s,hơn năm lận và trong quá trình đấy thì mình đã phải plan rất nhiều thứ kể cả cái việc đổi cái format cuộc thi trong nước để phù hợp với cuộc thi,hơn năm lận và trong quá trình đấy thì mình đã phải phen rất là nhiều thứ kể cả cái việc mà đổi pho mát cuộc thi trọng nước để cho nó phù hợp với cuộc tri,33,37,28,5,0,4,9,0.2727272727272727,False,"[{""reference"": ""plan"", ""hypothesis"": ""phen"", ""reference_position"": [12, 13], ""hypothesis_position"": [12, 13], ""type"": ""substitution""}, {""reference"": ""cái format"", ""hypothesis"": ""pho mát"", ""reference_position"": [21, 23], ""hypothesis_position"": [23, 25], ""type"": ""substitution""}, {""reference"": ""trong"", ""hypothesis"": ""trọng"", ""reference_position"": [25, 26], ""hypothesis_position"": [27, 28], ""type"": ""substitution""}, {""reference"": ""thi"", ""hypothesis"": ""tri"", ""reference_position"": [32, 33], ""hypothesis_position"": [36, 37], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""là"", ""reference_position"": [14, 14], ""hypothesis_position"": [14, 15], ""type"": ""insertion""}, {""reference"": """", ""hypothesis"": ""mà"", ""reference_position"": [20, 20], ""hypothesis_position"": [21, 22], ""type"": ""insertion""}, {""reference"": """", ""hypothesis"": ""cho nó"", ""reference_position"": [28, 28], ""hypothesis_position"": [30, 32], ""type"": ""insertion""}]","whisper lỗi không trả kết quả, qwen lỗi thêm từ không có",True
28,00028 SP 2,2:10.9,2:11.5,0.52s,đúng rồi,nếu ờ,2,2,0,2,0,0,2,1.0,False,"[{""reference"": ""đúng rồi"", ""hypothesis"": ""nếu ờ"", ""reference_position"": [0, 2], ""hypothesis_position"": [0, 2], ""type"": ""substitution""}]",[],[],,False
29,00029 SP 1,2:13.3,2:17.3,3.98s,cho nước ngoài sắp tới thì trong đó có một cái thay đổi mà,cho nước ngoài sắp tới thì trong đó thấy có một cái a thay đổi mà,14,16,14,0,0,2,2,0.14285714285714285,False,[],[],"[{""reference"": """", ""hypothesis"": ""thấy"", ""reference_position"": [8, 8], ""hypothesis_position"": [8, 9], ""type"": ""insertion""}, {""reference"": """", ""hypothesis"": ""a"", ""reference_position"": [11, 11], ""hypothesis_position"": [12, 13], ""type"": ""insertion""}]",,False
30,00030 SP 1,2:17.7,2:22.4,4.69s,có một cái thay đổi mà rất là nhiều người chú ý là không có top ba chỉ có top hai thôi cũng không,động công việc thay đổi mà rất là nhiều người chú ý là không có top ba chỉ có tốp hai thôi cũng không,24,24,20,4,0,0,4,0.16666666666666666,False,"[{""reference"": ""có một cái"", ""hypothesis"": ""động công việc"", ""reference_position"": [0, 3], ""hypothesis_position"": [0, 3], ""type"": ""substitution""}, {""reference"": ""top"", ""hypothesis"": ""tốp"", ""reference_position"": [19, 20], ""hypothesis_position"": [19, 20], ""type"": ""substitution""}]",[],[],asr sai với tiếng anh,True
31,00031 SP 1,2:22.7,2:24.9,2.23s,câu hỏi câu hỏi ứng xử mà debate với nhau luôn,câu hỏi câu hỏi ứng xử mà debate với nhau luôn,11,11,11,0,0,0,0,0.0,True,[],[],[],,False
32,00032 SP 1,2:25.5,2:27.3,1.80s,có rất là nhiều thay đổi như vậy,có rất là nhiều thay đổi như vậy,8,8,8,0,0,0,0,0.0,True,[],[],[],,False
33,00033 SP 1,2:27.6,2:31.3,3.68s,và đôi khi em thắc mắc là lý do tại sao anh quyết định đổi như vậy,và đôi khi em thắc mắc là lý do tại sao anh quyết định đổi như vậy,17,17,17,0,0,0,0,0.0,True,[],[],[],,False
34,00034 SP 1,2:31.8,2:33.6,1.80s,có phải là nếu như mà,có phải là nếu như mà,6,6,6,0,0,0,0,0.0,True,[],[],[],,False
35,00035 SP 1,2:34.0,2:39.2,5.22s,cái này là em nghĩ thôi nha nếu như không đổi thì cuộc thi của mình nó vẫn sẽ giống như những cuộc thi thông thường,cái này là em nghĩ thôi nha nếu như không đổi thì cuộc thi của mình nó vẫn sẽ giống như những cuộc tri thông thường,26,26,25,1,0,0,1,0.038461538461538464,False,"[{""reference"": ""thi"", ""hypothesis"": ""tri"", ""reference_position"": [23, 24], ""hypothesis_position"": [23, 24], ""type"": ""substitution""}]",[],[],,False
36,00036 SP 2,2:39.3,2:39.8,0.50s,dạ,dạ,1,1,1,0,0,0,0,0.0,True,[],[],[],,False
37,00037 SP 1,2:39.6,2:43.5,3.94s,nó rất là khó nổi bật ra khỏi cái mặt bằng chung rất nhiều của thi hiện nay,nó rất là khó stanout phó nổi bật do phải kín mặt bằng chung rất nhiều cuộc thi hiện nay,18,20,14,4,0,2,6,0.3333333333333333,False,"[{""reference"": ""ra khỏi cái"", ""hypothesis"": ""do phải kín"", ""reference_position"": [6, 9], ""hypothesis_position"": [8, 11], ""type"": ""substitution""}, {""reference"": ""của"", ""hypothesis"": ""cuộc"", ""reference_position"": [14, 15], ""hypothesis_position"": [16, 17], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""stanout phó"", ""reference_position"": [4, 4], ""hypothesis_position"": [4, 6], ""type"": ""insertion""}]",,False
38,00038 SP 2,2:45.1,2:46.8,1.74s,anh nghĩ ngọc chắc là một trong những người biết,anh nghĩ ngọc chắc là một trong những người biết,10,10,10,0,0,0,0,0.0,True,[],[],[],asr sai chữ,True
39,00039 SP 2,2:47.4,2:57.0,9.52s,về những cái cột mốc và những thay đổi đầu tiên của miss cosmo từ việt nam tới quốc tế thì anh không hiểu tại sao trong những dịp mà anh đang suy nghĩ về việc làm cái gì mới thì,về những cái cột mốc và những thay đổi đầu tiên của mít cót mô tại việt nam quốc tế thì anh đang nghĩ tài sao trong những dịp mà anh đang suy nghĩ về cái việc là làm gì đó mới thi,41,43,31,9,1,3,13,0.3170731707317073,False,"[{""reference"": ""miss cosmo từ"", ""hypothesis"": ""cót mô tại"", ""reference_position"": [12, 15], ""hypothesis_position"": [13, 16], ""type"": ""substitution""}, {""reference"": ""không hiểu tại"", ""hypothesis"": ""đang nghĩ tài"", ""reference_position"": [22, 25], ""hypothesis_position"": [22, 25], ""type"": ""substitution""}, {""reference"": ""cái gì"", ""hypothesis"": ""gì đó"", ""reference_position"": [37, 39], ""hypothesis_position"": [39, 41], ""type"": ""substitution""}, {""reference"": ""thì"", ""hypothesis"": ""thi"", ""reference_position"": [40, 41], ""hypothesis_position"": [42, 43], ""type"": ""substitution""}]","[{""reference"": ""tới"", ""hypothesis"": """", ""reference_position"": [17, 18], ""hypothesis_position"": [18, 18], ""type"": ""deletion""}]","[{""reference"": """", ""hypothesis"": ""mít"", ""reference_position"": [12, 12], ""hypothesis_position"": [12, 13], ""type"": ""insertion""}, {""reference"": """", ""hypothesis"": ""cái"", ""reference_position"": [35, 35], ""hypothesis_position"": [35, 36], ""type"": ""insertion""}, {""reference"": """", ""hypothesis"": ""là"", ""reference_position"": [36, 36], ""hypothesis_position"": [37, 38], ""type"": ""insertion""}]",qwen chọn chưa đúng lắm,True
40,00040 SP 1,2:51.5,2:52.7,1.18s,hhhhha,unk một số sự sửa sức,1,6,0,1,0,5,6,6.0,False,"[{""reference"": ""hhhhha"", ""hypothesis"": ""sức"", ""reference_position"": [0, 1], ""hypothesis_position"": [5, 6], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""unk một số sự sửa"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 5], ""type"": ""insertion""}]",tiếng cười,True
41,00041 SP 2,2:57.3,3:00.4,3.10s,gần như tình cờ là anh em mình đều gặp nhau đúng không trong những buổi cà phê,gần như tình cờ là anh em mình đều gặp nhau đúng không trong những buổi cà phê,18,18,18,0,0,0,0,0.0,True,[],[],[],,False
42,00042 SP 2,3:00.9,3:02.0,1.04s,um thì,ờ thì,2,2,1,1,0,0,1,0.5,False,"[{""reference"": ""um"", ""hypothesis"": ""ờ"", ""reference_position"": [0, 1], ""hypothesis_position"": [0, 1], ""type"": ""substitution""}]",[],[],,False
43,00043 SP 2,3:02.3,3:03.0,0.70s,anh nghĩ ấy,ăn nghỉ,3,2,0,2,1,0,3,1.0,False,"[{""reference"": ""anh nghĩ"", ""hypothesis"": ""ăn nghỉ"", ""reference_position"": [0, 2], ""hypothesis_position"": [0, 2], ""type"": ""substitution""}]","[{""reference"": ""ấy"", ""hypothesis"": """", ""reference_position"": [2, 3], ""hypothesis_position"": [2, 2], ""type"": ""deletion""}]",[],lỗi asr khi nghe đoạn quá ngắn,True
44,00044 SP 2,3:03.4,3:06.0,2.58s,cái quan điểm từ của anh giờ nó không đổi tức là,cái quan điểm từ cụ anh về chính giờ nó không đổi tức là,12,14,11,1,0,2,3,0.25,False,"[{""reference"": ""của"", ""hypothesis"": ""cụ"", ""reference_position"": [4, 5], ""hypothesis_position"": [4, 5], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""về chính"", ""reference_position"": [6, 6], ""hypothesis_position"": [6, 8], ""type"": ""insertion""}]",,False
45,00045 SP 2,3:06.9,3:11.5,4.58s,nếu mà mình chỉ có làm mọi thứ giống nhau thì mình không thể mong đợi kết quả nó sẽ khác đi được,nếu mà mình chỉ có làm mọi thứ giống nhau á thì mình không thể mong đợi kết quả nó sẽ khác đi được,23,24,23,0,0,1,1,0.043478260869565216,False,[],[],"[{""reference"": """", ""hypothesis"": ""á"", ""reference_position"": [10, 10], ""hypothesis_position"": [10, 11], ""type"": ""insertion""}]",,False
46,00046 SP 2,3:12.4,3:12.8,0.42s,có đúng không,đúng không,3,2,2,0,1,0,1,0.3333333333333333,False,[],"[{""reference"": ""có"", ""hypothesis"": """", ""reference_position"": [0, 1], ""hypothesis_position"": [0, 0], ""type"": ""deletion""}]",[],"asr sai, qwen chọn sai",True
47,00047 SP 1,3:12.9,3:13.3,0.38s,phụ so you,phường,3,1,0,1,2,0,3,1.0,False,"[{""reference"": ""phụ"", ""hypothesis"": ""phường"", ""reference_position"": [0, 1], ""hypothesis_position"": [0, 1], ""type"": ""substitution""}]","[{""reference"": ""so you"", ""hypothesis"": """", ""reference_position"": [1, 3], ""hypothesis_position"": [1, 1], ""type"": ""deletion""}]",[],,False
48,00048 SP 2,3:13.2,3:19.1,5.88s,thì rõ ràng là nếu mà mình vẫn làm như từ trước giờ mình làm và mình cũng làm giống như cách mọi người làm và mọi nghĩ nó phải là á,thì rõ ràng là nếu mà mình cũng làm như từ chủ nhiệm mình làm và mình cũng la giống như cách mọi người làm và mọi nghĩ nó phải là á,32,32,28,4,0,0,4,0.125,False,"[{""reference"": ""vẫn"", ""hypothesis"": ""cũng"", ""reference_position"": [7, 8], ""hypothesis_position"": [7, 8], ""type"": ""substitution""}, {""reference"": ""trước giờ"", ""hypothesis"": ""chủ nhiệm"", ""reference_position"": [11, 13], ""hypothesis_position"": [11, 13], ""type"": ""substitution""}, {""reference"": ""làm"", ""hypothesis"": ""la"", ""reference_position"": [18, 19], ""hypothesis_position"": [18, 19], ""type"": ""substitution""}]",[],[],asr sai,True
49,00049 SP 2,3:19.5,3:23.1,3.62s,thì chắc chắn cái kết quả nó sẽ là the same nó chỉ có thể là giống hoặc tệ hơn thôi,thì chắc chắn cái kết quả nó sẽ là đề xem nếu chỉ có thể giống hoặc tệ hơn,21,19,16,3,2,0,5,0.23809523809523808,False,"[{""reference"": ""the same nó"", ""hypothesis"": ""đề xem nếu"", ""reference_position"": [9, 12], ""hypothesis_position"": [9, 12], ""type"": ""substitution""}]","[{""reference"": ""là"", ""hypothesis"": """", ""reference_position"": [15, 16], ""hypothesis_position"": [15, 15], ""type"": ""deletion""}, {""reference"": ""thôi"", ""hypothesis"": """", ""reference_position"": [20, 21], ""hypothesis_position"": [19, 19], ""type"": ""deletion""}]",[],asr không tốt với tiếng anh,True
50,00050 SP 2,3:23.5,3:24.7,1.16s,tại vì người ta đã làm rồi,tại vì người ta đã làm rồi,7,7,7,0,0,0,0,0.0,True,[],[],[],,False
51,00051 SP 2,3:25.1,3:29.6,4.52s,mình cũng làm lặp lại y hệt mình còn tư duy lười cải tiến nữa thì chắc chắn là sẽ không thành công,mình cũng làm lặp lại hết mà mình còn lười tư duy lười cải tiến nữa thì chắc chắn là sẽ không thành công,23,24,21,2,0,1,3,0.13043478260869565,False,"[{""reference"": ""y hệt"", ""hypothesis"": ""hết mà"", ""reference_position"": [5, 7], ""hypothesis_position"": [5, 7], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""lười"", ""reference_position"": [9, 9], ""hypothesis_position"": [9, 10], ""type"": ""insertion""}]",,True
52,00052 SP 2,3:30.3,3:34.6,4.32s,thì quan điểm của tụi anh là nếu mà mình có một cái cơ hội để làm mới thì mình sẽ làm mới,thì quan điểm của tụi anh là nếu mà mình có một cái cơ hội để làm mới thì mình sẽ làm mới,23,23,23,0,0,0,0,0.0,True,[],[],[],,False
53,00053 SP 2,3:35.1,3:37.5,2.48s,mà ở đây mình còn là có cơ hội làm từ đâu nữa cơ,mà ở đây mình còn là có cơ hội làm từ đầu nữa cơ,14,14,13,1,0,0,1,0.07142857142857142,False,"[{""reference"": ""đâu"", ""hypothesis"": ""đầu"", ""reference_position"": [11, 12], ""hypothesis_position"": [11, 12], ""type"": ""substitution""}]",[],[],asr sai,True
