id,reference,base_hypothesis,final_hypothesis,base_wer,final_wer,wer_improvement,status,transition,base_errors,final_errors
57,tạo nên phong cách của một cuộc thi sắc đẹp mà mình nên giữ nhưng còn lại thì anh để cho bản thân và để cho tất cả đội ngũ của mình rất là thoải mái trong cách tư duy xây dựng format,tạo nên format của một cuộc thi sắc đẹp mà mình nên giữ nhưng còn lại thì anh để cho bản thân và để cho tất cả đội ngũ của mình rất là thoải mái trong cách tư duy xây dựng format,tạo nên phong cách của một cuộc thi sắc đẹp mà mình nên giữ nhưng còn lại thì anh để cho bản thân và để cho tất cả đội ngũ của mình rất là thoải mái trong cách tư duy xây dựng phong cách,0.046511627906976744,0.046511627906976744,0.0,unchanged,wrong_to_wrong,2,2
58,cho nên là tụi anh gần như,cho nên là tụi anh gần như,cho nên là tụi anh gần như,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
59,phá cái cấu trúc truyền thống và khi mà đặt vào bất cứ một cái khuôn mẫu nào thì anh luôn tự hỏi là tại sao mình phải làm như vậy có cách nào làm khác đi không,phải cái cấu trúc truyền thống và khi mà đặt vào bất cứ một khuôn mẫu nào thì anh luôn tự hỏi là tại sao mình phải làm như vậy có cách nào làm khác đi không,phải cái cấu trúc truyền thống và khi mà đặt vào bất cứ một cái khuôn mẫu nào thì anh luôn tự hỏi là tại sao mình phải làm như vậy có cách nào làm khác đi không,0.05263157894736842,0.02631578947368421,0.02631578947368421,improved,wrong_to_wrong,2,1
60,thế nên là tụi anh cũng,thế nên là tụi anh cũng,thế nên là tụi anh cũng,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
61,có thể gọi là khá là táo bạo những câu chuyện là đập vỡ cái format truyền thống mà mình xây một cái phong cách hoàn toàn mới cho cosmo,có thể gọi là khá là táo bạo những câu chuyện là đập vỡ cái format truyền thống và mình xây một cái format hoàn toàn mới cho cosmo,có thể gọi là khá là táo bạo những câu chuyện là đập vỡ cái phong cách truyền thống mà mình xây một cái phong cách hoàn toàn mới cho cosmo,0.1,0.06666666666666667,0.03333333333333334,improved,wrong_to_wrong,3,2
62,ờ mà nói là chắc chắn sẽ thành công hoặc là anh tự tin là ok tôi làm khác tôi sẽ thắng,nếu mà nói là chắc chắn sẽ thành công hoặc là anh tự tin là ok tôi làm khác tôi sẽ thắng,if mà nói là chắc chắn sẽ thành công hoặc là anh tự tin là ok tôi làm khác tôi sẽ thắng,0.045454545454545456,0.045454545454545456,0.0,unchanged,wrong_to_wrong,1,1
63,thì không hẳn,thì không hẳn,thì không hẳn,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
64,nhưng mà chắc chắn anh nói đó nếu mà mình không làm khác thì chắc chắn là mình sẽ,nhưng mà chắc chắn anh nói đó nếu mình không làm khác thì chắc,nhưng mà chắc chắn anh nói đó nếu mà mình không làm khác thì chắc chắn là mình sẽ,0.2631578947368421,0.0,0.2631578947368421,improved,wrong_to_correct,5,0
65,mình sẽ chỉ vậy thôi hoặc,mình sẽ chỉ phải thôi ha,mình sẽ chỉ vậy thôi hoặc là,0.3333333333333333,0.16666666666666666,0.16666666666666666,improved,wrong_to_wrong,2,1
66,chắc chắn là chỉ thua thôi,chắc chắn là chỉ thua thôi,chắc chắn là chỉ thua thôi,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
67,cho nên là bây giờ đây là một cái cuộc đặc cược,cho nên là bây giờ đây là một cái đặc cực,cho nên là bây giờ đây là một cái cụ đặc cử,0.16666666666666666,0.16666666666666666,0.0,unchanged,wrong_to_wrong,2,2
68,dĩ nhiên là mình phải đặt cược với rất nhiều tâm huyết rất nhiều tư duy ở trong đó và tụi anh cũng test and learn cũng thử và học,dĩ nhiên là mình phải đặt cược với rất nhiều tâm úy rất nhiều tiêu duy ở trong đó và tụi anh cũng test and learn cũng thử và học,dĩ nhiên là mình phải đặt cược với rất nhiều tâm huyết rất nhiều tư duy ở trong đó và tụi anh cũng thử và học,0.06666666666666667,0.13333333333333333,-0.06666666666666667,worsened,wrong_to_wrong,2,4
69,cũng tham khảo ý kiến của rất nhiều nguồn,cũng tham khảo ý kiến của rất là nhiều nguồn,cũng tham khảo ý kiến của rất nhiều nguồn,0.1111111111111111,0.0,0.1111111111111111,improved,wrong_to_correct,1,0
70,và cũng có những cái mà anh thấy là à,và cũng có những cái mà anh thấy là,và cũng có những cái mà anh thấy lạ,0.1,0.2,-0.1,worsened,wrong_to_wrong,1,2
71,nó không được như mình kỳ vọng đó nhưng mình vẫn sẽ thử đó và cũng có những cái à ok cho tới bây giờ mọi người đã bắt đầu quen ví dụ như,nó không được như mình kỳ vọng đó nhưng mình vẫn sẽ thử đó và cũng có những cái à ok cho tới bây giờ mọi người đã bắt đầu quen ví dụ như,nó không được như mình kỳ vọng đó nhưng mình vẫn sẽ thử đó và cũng có những cái à ok cho tới bây giờ mọi người đã bắt đầu quen ví dụ như,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
72,ừ,ừ,ừ,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
73,sau một cái format,sau một cái phong mát,sau một cái pho mát,0.5,0.5,0.0,unchanged,wrong_to_wrong,2,2
74,của việt nam thì bây giờ tụi anh công bố cái việc mà chọn top hai cho cuộc quốc tế,của việt nam thì bây giờ tụi anh công bố cái việc mà chọn top 2 cho cuộc quốc tế,việt nam thì bây giờ tụi anh công bố cái việc mà chọn top hai cho cuộc quốc tế,0.05,0.05,0.0,unchanged,wrong_to_wrong,1,1
75,thì rất là nhiều khán giả của việt nam và quốc tế họ đã quen rồi và họ nói là à,thì rất là nhiều khán giả của việt nam và quốc tế họ đã quen rồi và họ nói là à,thì rất là nhiều khán giả của việt nam và quốc tế họ đã quen rồi và họ nói là à,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
76,thực ra đây không phải là một bài test nữa bởi vì tổ chức này đã làm điều đó ở cuộc thi việt nam và chắc chắn họ đã học được kinh nghiệm để tổ chức điều đó một cách chỉnh chu nhất,thật ra đây không phải là một cái bài test nữa tại vì tổ chức này họ đã làm điều đó ở cuộc thi việt nam và chắc chắn họ đã học được kinh nghiệm để tổ chính điều đó một cách chỉnh chuôi nhất,thực ra đây không phải là một bài thử nữa bởi vì tổ chức này đã làm điều đó ở cuộc thi việt nam và chắc chắn họ đã học được kinh nghiệm để tổ chức điều đó một cách chỉnh chu nhất,0.13953488372093023,0.023255813953488372,0.11627906976744186,improved,wrong_to_wrong,6,1
77,thì anh thấy happy là mình đã dám thử,thì anh đang happy là mình đã dám thử,thì anh thấy happy là mình đã dám thử nghiệm,0.1111111111111111,0.1111111111111111,0.0,unchanged,wrong_to_wrong,1,1
78,nhưng mà trong mọi cái thử gọi là,nhưng mà trong mọi cái thủ gọi là,nhưng mà trong mọi cái thử gọi là,0.125,0.0,0.125,improved,wrong_to_correct,1,0
79,như anh nói rằng là cái này nó làm mình test and learn,như anh nói rằng là cái này nó làm mình test and learn,như anh nói rằng là cái này nó làm mình test và học,0.0,0.15384615384615385,-0.15384615384615385,worsened,correct_to_wrong,0,2
80,thì,thế,thế thì,1.0,1.0,0.0,unchanged,wrong_to_wrong,1,1
81,nó sẽ không có đúng và sai nó chỉ có là nên hay không nên,thì nó sẽ không có đúng và sai nó chỉ có là nên hay không nên,thì nó sẽ không có đúng và sai nó chỉ có là nên hay không nên,0.06666666666666667,0.06666666666666667,0.0,unchanged,wrong_to_wrong,1,1
82,dạ,dạ,dạ nhờ yeah,0.0,2.0,-2.0,worsened,correct_to_wrong,0,2
83,thì trong suốt một quá trình đó,thì trong suốt một quá trình đó,thì trong suốt một quá trình đó,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
84,đầu có một khoảnh khắc nào đó anh cảm thấy rằng là đáng lẽ mình không nên làm như vậy,đâu có một khoảnh khắc nào đó anh cảm thấy rằng là đáng lẽ mình không nên làm như vậy,đầu có một khoảnh khắc nào đó anh cảm thấy rằng là đáng lẽ mình không nên làm như vậy,0.05,0.0,0.05,improved,wrong_to_correct,1,0
85,ờ,ừ,ờ thế,1.0,1.0,0.0,unchanged,wrong_to_wrong,1,1
86,hoặc là đáng lẽ nên mình giữ một chút nào đó gọi là fix mindset cái format cố định không hay là có một lúc nào mình quyết định mình nghĩ như vậy không,hoặc là đáng lẽ nên mình nên giữ một chút nào đấy nó gọi là cái fix mindset cái format cố định không hay là có một khoảnh khắc nào mình quyết định mình nghĩ như vậy không,hoặc là đáng lẽ nên mình giữ một chút nào đó gọi là fix mindset phím mã cố định không hay là có một lúc nào mình quyết định mình nghĩ như vậy không,0.17647058823529413,0.058823529411764705,0.11764705882352942,improved,wrong_to_wrong,6,2
87,ừ,ừ,ừ,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
88,câu này anh thấy cũng rất là hay anh nghĩ ai chắc sẽ có trăn trở khi mình chọn nhưng mà,câu này anh thấy cũng rất là hay anh nghĩ ai chắc sẽ có trăn trở khi mình chọn nhưng mà,câu này anh thấy cũng rất là hay anh nghĩ ai chắc sẽ có trăn trở khi mình chọn nhưng mà,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
89,quan điểm của anh là gì ví dụ mình tới một ngã ba mà mình đã rẽ trái,quan điểm của anh là ví dụ mình tới một ngã ba rồi mình đã rẽ trái,quan điểm của anh là gì ví dụ mình tới một ngã ba mà mình đã rẽ trái,0.1111111111111111,0.0,0.1111111111111111,improved,wrong_to_correct,2,0
90,ở cái thời điểm đó mình không biết cái gì đợi mình ở hướng bên phải hết á,ở cái thời điểm đó mình không biết cái gì đợi mình ở hướng bên phải hết á,ở cái thời điểm đó mình không biết cái gì đợi mình ở hướng bên phải hết á,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
91,ừm,ừm,ừm,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
92,còn nếu mình đang đi bên trái và mình cứ nghĩ mãi là cái gì đợi phương hướng còn lại thì mình sẽ không bao giờ tập trung được tập trung được,còn nếu mình đang đi bên trái và mình cứ nghĩ mãi là cái gì đợi phương hướng còn lại thì mình sẽ không bao giờ tập trung được,còn nếu mình đang đi bên trái và mình cứ nghĩ mãi là cái gì đợi phương hướng còn lại thì mình sẽ không bao giờ tập trung được tập trung được,0.09375,0.0,0.09375,improved,wrong_to_correct,3,0
93,cho cái hướng đi của mình,cho cái hướng đi của mình,cho cái hướng đi của mình,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
94,thế nên là anh có hai câu chuyện một là lúc chuẩn bị rẽ thì phải nghĩ thật kỹ,thế nên là anh có hai câu chuyện một là lúc mà chuẩn bị rẻ thì phải nghỉ thật kỹ,thế nên là anh có hai câu chuyện một là lúc chuẩn bị rẻ thì phải nghĩ thật kỹ,0.15789473684210525,0.05263157894736842,0.10526315789473684,improved,wrong_to_wrong,3,1
95,nhưng đã rẽ rồi là phải tập trung vào,nhưng đã rẻ rồi là phải tập trung vào,nhưng đã rẻ rồi là phải tập trung vào,0.1111111111111111,0.1111111111111111,0.0,unchanged,wrong_to_wrong,1,1
96,anh sẽ không có,anh giải không ơ,anh sẽ không ngơ,0.5,0.25,0.25,improved,wrong_to_wrong,2,1
97,ok ừ ô kê giá mà hồi kia mình làm khác đi hoặc là mình cứ làm theo cách đó thôi thì có thể nó sẽ khác hơn,ok giá mà hồi kia mình làm khác đi hoặc là mình cứ làm theo cách đó thôi thì có thể nó sẽ khác hơn,ok ừ ô kê giá mà hồi kia mình làm khác đi hoặc là mình cứ làm theo cách đó thôi thì có thể nó sẽ khác hơn,0.10714285714285714,0.0,0.10714285714285714,improved,wrong_to_correct,3,0
